shopping_mall_id,shopping_mall
211,"king abdulaziz center"
212,"south coast plaza"
213,"sm seaside city cebu"
214,"forum istanbul"
215,"robinsons galleria"
216,"forum istanbul"
217,"mall of america"
218,"chadstone shopping centre"
219,"dubai mall"
220,"centro coyoacÃƒÂ¡n"
221,"dubai mall"
222,"dubai mall"
223,"south coast plaza"
224,"sm mall of asia"
225,"robinsons galleria"
226,"aventura mall"
227,"galleria vittorio emanuele ii"
228,"central world"
229,takashimaya
230,"pavilion kuala lumpur"
231,"sm seaside city cebu"
232,"king abdulaziz center"
233,"faisalabad mall"
234,"sm mall of asia"
235,"pavilion kuala lumpur"
236,"beverly center"
237,"the mall at millenia"
238,"chadstone shopping centre"
239,"westfield london"
240,"zorlu center"
241,"galeries lafayette"
242,"pavilion kuala lumpur"
243,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
244,"galeries lafayette"
245,"lotte world mall"
246,"robinsons galleria"
247,"the dubai mall"
248,"moscow mall"
249,"robinsons place manila"
250,"mall of the emirates"
251,"central embassy"
252,"mall of the emirates"
253,"the dubai mall"
254,"robinsons galleria"
255,kanyon
256,"westfield london"
257,"the shops at columbus circle"
258,"mall of the emirates"
259,"westfield world trade center"
260,"moscow mall"
261,"dubai mall"
262,"centro coyoacÃƒÂ¡n"
263,"faisalabad mall"
264,"king of prussia mall"
265,"westfield london"
266,"faisalabad mall"
267,"king of prussia mall"
268,"the grove"
269,"chadstone shopping centre"
270,"mitsui outlet park"
271,vivocity
272,"the mall at millenia"
273,"korsh mall"
274,"dubai mall"
275,"chadstone shopping centre"
276,"mall of america"
277,"dubai mall"
278,"galeries lafayette"
279,"centro coyoacÃƒÂ¡n"
280,"dubai mall"
281,"lujiazui shopping mall"
282,"the shops at columbus circle"
283,"robinsons galleria"
284,"central world"
285,"the dubai mall"
286,"korsh mall"
287,kanyon
288,"galleria mall"
289,"robinsons galleria"
290,"lujiazui shopping mall"
291,"tokyo midtown"
292,"prada store tokyo"
293,"the grove"
294,"the grove"
295,"centro coyoacÃƒÂ¡n"
296,"the shops at columbus circle"
297,"zorlu center"
298,"mitsui outlet park"
299,"the dubai mall"
300,"oasis mall"
301,"chadstone shopping centre"
302,"la rinascente"
303,"la rinascente"
304,"the grove"
305,"tokyo midtown"
306,"kuala lumpur city centre (klcc)"
307,"fifth avenue"
308,"moscow mall"
309,"mall of america"
310,"istanbul cevahir avm"
311,"mall of america"
312,"kuala lumpur city centre (klcc)"
313,"westfield world trade center"
314,"tokyo midtown"
315,"faisalabad mall"
316,"the dubai mall"
317,kanyon
318,"the shops at columbus circle"
319,"the shops at columbus circle"
320,"galeries lafayette"
321,"lujiazui shopping mall"
322,"aventura mall"
323,"galleria mall"
324,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
325,"chadstone shopping centre"
326,"central world"
327,"plaza satÃƒÂ©lite"
328,"tokyo midtown"
329,"westfield london"
330,"la rinascente"
331,"king abdulaziz center"
332,"beverly center"
333,"beverly center"
334,"korsh mall"
335,"mall of the emirates"
336,"central embassy"
337,"korsh mall"
338,"centro santa fe"
339,"robinsons place manila"
340,"westfield parramatta"
341,"la rinascente"
342,"galeries lafayette"
343,"central world"
344,"dubai mall"
345,"aventura mall"
346,"sm seaside city cebu"
347,"la rinascente"
348,"istanbul cevahir avm"
349,"central embassy"
350,"istanbul cevahir avm"
351,"galleria mall"
352,"oasis mall"
353,"sm mall of asia"
354,"the mall at millenia"
355,"dubai mall"
356,"centro coyoacÃƒÂ¡n"
357,"westfield parramatta"
358,"galleria mall"
359,"faisalabad mall"
360,"mall of america"
361,"fifth avenue"
362,"lujiazui shopping mall"
363,"kuala lumpur city centre (klcc)"
364,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
365,"aventura mall"
366,"centro santa fe"
367,"the outlets at orange"
368,"lotte world mall"
369,"dubai mall"
370,"moscow mall"
371,"faisalabad mall"
372,"korsh mall"
373,takashimaya
374,"kuala lumpur city centre (klcc)"
375,"king of prussia mall"
376,"aventura mall"
377,"king abdulaziz center"
378,"robinsons place manila"
379,"galleria mall"
380,"faisalabad mall"
381,"sm mall of asia"
382,"mitsui outlet park"
383,"la rinascente"
384,"zorlu center"
385,"istanbul cevahir avm"
386,"centro santa fe"
387,"faisalabad mall"
388,"sm mall of asia"
389,"south coast plaza"
390,"chadstone shopping centre"
391,"robinsons galleria"
392,"robinsons galleria"
393,"marina bay sands shopping mall"
394,kanyon
395,"south coast plaza"
396,"prada store tokyo"
397,"chadstone shopping centre"
398,"galleria mall"
399,"forum istanbul"
400,"westfield parramatta"
401,"korsh mall"
402,"aventura mall"
403,takashimaya
404,"plaza satÃƒÂ©lite"
405,kanyon
406,"king of prussia mall"
407,kanyon
408,"pavilion kuala lumpur"
409,"moscow mall"
410,"chadstone shopping centre"
411,"aventura mall"
412,"galeries lafayette"
413,"the grove"
414,"the shops at columbus circle"
415,"chadstone shopping centre"
416,"sm seaside city cebu"
417,"nanjing deji plaza"
418,"dubai mall"
419,"pavilion kuala lumpur"
420,"prada store tokyo"
421,vivocity
422,"pavilion kuala lumpur"
423,takashimaya
424,"centro coyoacÃƒÂ¡n"
425,"westfield world trade center"
426,"the grove"
427,"forum istanbul"
428,"dubai mall"
429,"lujiazui shopping mall"
430,"central embassy"
431,"oasis mall"
432,"zorlu center"
433,"oasis mall"
434,"the dubai mall"
435,"westfield parramatta"
436,"westfield london"
437,"galeries lafayette"
438,"fifth avenue"
439,"dubai mall"
440,"oasis mall"
441,takashimaya
442,"faisalabad mall"
443,"mall of america"
444,"zorlu center"
445,"oasis mall"
446,"lujiazui shopping mall"
447,"plaza satÃƒÂ©lite"
448,"oasis mall"
449,"mall of america"
450,"forum istanbul"
451,"lotte world mall"
452,"the dubai mall"
453,"westfield parramatta"
454,"westfield parramatta"
455,"prada store tokyo"
456,"oasis mall"
457,"galeries lafayette"
458,"faisalabad mall"
459,"the mall at millenia"
460,"westfield parramatta"
461,"fifth avenue"
462,"sm seaside city cebu"
463,"oasis mall"
464,"sm mall of asia"
465,"lujiazui shopping mall"
466,"centro santa fe"
467,kanyon
468,"the shops at columbus circle"
469,"la rinascente"
470,kanyon
471,"the outlets at orange"
472,"sm seaside city cebu"
473,"zorlu center"
474,"westfield world trade center"
475,"the shops at columbus circle"
476,"the grove"
477,"mall of america"
478,"korsh mall"
479,"galleria mall"
480,"sm mall of asia"
481,"the mall at millenia"
482,takashimaya
483,"centro coyoacÃƒÂ¡n"
484,"aventura mall"
485,"dubai mall"
486,"mall of america"
487,"pavilion kuala lumpur"
488,"centro santa fe"
489,takashimaya
490,"beverly center"
491,"pavilion kuala lumpur"
492,"lujiazui shopping mall"
493,"mall of america"
494,"galleria mall"
495,"mall of america"
496,"central embassy"
497,"mitsui outlet park"
498,"the mall at millenia"
499,"sm seaside city cebu"
500,"galleria mall"
501,"lotte world mall"
502,"centro santa fe"
503,"plaza satÃƒÂ©lite"
504,"galleria mall"
505,"central embassy"
506,"central embassy"
507,"the shops at columbus circle"
508,"beverly center"
509,"galleria mall"
510,"plaza satÃƒÂ©lite"
511,"mall of america"
512,"mall of the emirates"
513,"sm mall of asia"
514,"forum istanbul"
515,"the dubai mall"
516,"siam paragon"
517,"prada store tokyo"
518,"moscow mall"
519,"galleria vittorio emanuele ii"
520,"westfield london"
521,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
522,"forum istanbul"
523,"westfield world trade center"
524,"korsh mall"
525,"oasis mall"
526,"fifth avenue"
527,"robinsons place manila"
528,"galleria mall"
529,"moscow mall"
530,"plaza satÃƒÂ©lite"
531,"central world"
532,"beverly center"
533,"the mall at millenia"
534,"central embassy"
535,"oasis mall"
536,"plaza satÃƒÂ©lite"
537,"la rinascente"
538,"lujiazui shopping mall"
539,"robinsons place manila"
540,"the dubai mall"
541,"nanjing deji plaza"
542,"kuala lumpur city centre (klcc)"
543,"king abdulaziz center"
544,"mitsui outlet park"
545,"fifth avenue"
546,"king abdulaziz center"
547,"mall of the emirates"
548,"westfield parramatta"
549,"galleria vittorio emanuele ii"
550,"westfield parramatta"
551,"galleria mall"
552,"fifth avenue"
553,"lotte world mall"
554,"westfield london"
555,"moscow mall"
556,"la rinascente"
557,"dubai mall"
558,"istanbul cevahir avm"
559,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
560,"central embassy"
561,"galleria vittorio emanuele ii"
562,"south coast plaza"
563,"mall of the emirates"
564,"marina bay sands shopping mall"
565,"galleria vittorio emanuele ii"
566,"siam paragon"
567,"centro santa fe"
568,"fifth avenue"
569,"lujiazui shopping mall"
570,"mitsui outlet park"
571,"dubai mall"
572,"westfield world trade center"
573,"tokyo midtown"
574,"galeries lafayette"
575,"robinsons galleria"
576,"galleria mall"
577,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
578,"robinsons place manila"
579,"moscow mall"
580,"aventura mall"
581,"korsh mall"
582,"king abdulaziz center"
583,"central embassy"
584,"forum istanbul"
585,"sm seaside city cebu"
586,"nanjing deji plaza"
587,"robinsons place manila"
588,"king of prussia mall"
589,"moscow mall"
590,"the mall at millenia"
591,"the shops at columbus circle"
592,"robinsons place manila"
593,"lujiazui shopping mall"
594,"robinsons place manila"
595,"istanbul cevahir avm"
596,"robinsons place manila"
597,"tokyo midtown"
598,"south coast plaza"
599,"galeries lafayette"
600,"westfield world trade center"
601,"zorlu center"
602,"pavilion kuala lumpur"
603,"sm mall of asia"
604,"faisalabad mall"
605,"centro santa fe"
606,"sm seaside city cebu"
607,"galleria mall"
608,"westfield parramatta"
609,kanyon
610,"the dubai mall"
611,"marina bay sands shopping mall"
612,"lujiazui shopping mall"
613,"the dubai mall"
614,"south coast plaza"
615,"robinsons place manila"
616,"dubai mall"
617,"fifth avenue"
618,"istanbul cevahir avm"
619,"chadstone shopping centre"
620,kanyon
621,"siam paragon"
622,"mall of the emirates"
623,"prada store tokyo"
624,"westfield world trade center"
625,"la rinascente"
626,"nanjing deji plaza"
627,"fifth avenue"
628,"faisalabad mall"
629,"siam paragon"
630,"king abdulaziz center"
631,"sm mall of asia"
632,"the grove"
633,"plaza satÃƒÂ©lite"
634,"siam paragon"
635,"central embassy"
636,"faisalabad mall"
637,"lujiazui shopping mall"
638,"the outlets at orange"
639,"sm mall of asia"
640,kanyon
641,"westfield world trade center"
642,"fifth avenue"
643,"centro santa fe"
644,takashimaya
645,"lujiazui shopping mall"
646,"istanbul cevahir avm"
647,"kuala lumpur city centre (klcc)"
648,"mitsui outlet park"
649,"nanjing deji plaza"
650,"centro santa fe"
651,"kuala lumpur city centre (klcc)"
652,"nanjing deji plaza"
653,"prada store tokyo"
654,"king abdulaziz center"
655,"marina bay sands shopping mall"
656,"the shops at columbus circle"
657,"sm mall of asia"
658,"plaza satÃƒÂ©lite"
659,"moscow mall"
660,"beverly center"
661,kanyon
662,"prada store tokyo"
663,"kuala lumpur city centre (klcc)"
664,"istanbul cevahir avm"
665,"plaza satÃƒÂ©lite"
666,"westfield parramatta"
667,"westfield world trade center"
668,"robinsons galleria"
669,"siam paragon"
670,"the grove"
671,"galeries lafayette"
672,"prada store tokyo"
673,"centro coyoacÃƒÂ¡n"
674,"central embassy"
675,"centro santa fe"
676,"mall of the emirates"
677,"westfield world trade center"
678,kanyon
679,"kuala lumpur city centre (klcc)"
680,"westfield world trade center"
681,"dubai mall"
682,"zorlu center"
683,"siam paragon"
684,"lotte world mall"
685,"robinsons place manila"
686,"moscow mall"
687,"beverly center"
688,"prada store tokyo"
689,"oasis mall"
690,"pavilion kuala lumpur"
691,takashimaya
692,"nanjing deji plaza"
693,"oasis mall"
694,"oasis mall"
695,"aventura mall"
696,"the mall at millenia"
697,"plaza satÃƒÂ©lite"
698,"the mall at millenia"
699,"sm seaside city cebu"
700,"siam paragon"
701,kanyon
702,"pavilion kuala lumpur"
703,"sm seaside city cebu"
704,kanyon
705,"mitsui outlet park"
706,"la rinascente"
707,"dubai mall"
708,kanyon
709,"dubai mall"
710,"aventura mall"
711,"galleria vittorio emanuele ii"
712,"mall of the emirates"
713,"westfield parramatta"
714,"the mall at millenia"
715,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
716,"istanbul cevahir avm"
717,"central embassy"
718,"galleria mall"
719,"pavilion kuala lumpur"
720,"pavilion kuala lumpur"
721,"westfield world trade center"
722,vivocity
723,"forum istanbul"
724,"lujiazui shopping mall"
725,"galleria vittorio emanuele ii"
726,"kuala lumpur city centre (klcc)"
727,"tokyo midtown"
728,"south coast plaza"
729,"the shops at columbus circle"
730,"oasis mall"
731,"siam paragon"
732,"pavilion kuala lumpur"
733,kanyon
734,"siam paragon"
735,"kuala lumpur city centre (klcc)"
736,"lujiazui shopping mall"
737,"mall of america"
738,"dubai mall"
739,"king of prussia mall"
740,"mitsui outlet park"
741,"aventura mall"
742,"marina bay sands shopping mall"
743,"istanbul cevahir avm"
744,"the dubai mall"
745,"forum istanbul"
746,"dubai mall"
747,"dubai mall"
748,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
749,"centro coyoacÃƒÂ¡n"
750,"korsh mall"
751,"forum istanbul"
752,"pavilion kuala lumpur"
753,"fifth avenue"
754,"central embassy"
755,"central embassy"
756,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
757,"dubai mall"
758,"plaza satÃƒÂ©lite"
759,"korsh mall"
760,"westfield world trade center"
761,"central world"
762,"centro coyoacÃƒÂ¡n"
763,"forum istanbul"
764,"plaza satÃƒÂ©lite"
765,"marina bay sands shopping mall"
766,"dubai mall"
767,"nanjing deji plaza"
768,"lotte world mall"
769,"the dubai mall"
770,"moscow mall"
771,"faisalabad mall"
772,"dubai mall"
773,"central embassy"
774,"pavilion kuala lumpur"
775,"oasis mall"
776,"the grove"
777,"robinsons galleria"
778,"aventura mall"
779,kanyon
780,"mall of the emirates"
781,"westfield world trade center"
782,"marina bay sands shopping mall"
783,"galleria mall"
784,"robinsons place manila"
785,vivocity
786,"robinsons place manila"
787,"sm mall of asia"
788,"plaza satÃƒÂ©lite"
789,"sm seaside city cebu"
790,"central embassy"
791,"the shops at columbus circle"
792,"westfield london"
793,"fifth avenue"
794,"beverly center"
795,"beverly center"
796,"chadstone shopping centre"
797,"la rinascente"
798,"kuala lumpur city centre (klcc)"
799,"westfield london"
800,"siam paragon"
801,"forum istanbul"
802,"prada store tokyo"
803,"the shops at columbus circle"
804,"sm seaside city cebu"
805,vivocity
806,"westfield parramatta"
807,"lujiazui shopping mall"
808,"lotte world mall"
809,"dubai mall"
810,"sm mall of asia"
811,"la rinascente"
812,"centro santa fe"
813,kanyon
814,"westfield parramatta"
815,"dubai mall"
816,"galleria mall"
817,"oasis mall"
818,"king abdulaziz center"
819,"zorlu center"
820,"king abdulaziz center"
821,"sm mall of asia"
822,"king abdulaziz center"
823,"nanjing deji plaza"
824,"westfield parramatta"
825,"centro coyoacÃƒÂ¡n"
826,"zorlu center"
827,"central world"
828,takashimaya
829,"forum istanbul"
830,"nanjing deji plaza"
831,"lujiazui shopping mall"
832,"galleria mall"
833,"fifth avenue"
834,"king of prussia mall"
835,vivocity
836,"prada store tokyo"
837,"galleria vittorio emanuele ii"
838,"marina bay sands shopping mall"
839,"dubai mall"
840,vivocity
841,"robinsons galleria"
842,"the grove"
843,"galeries lafayette"
844,"the shops at columbus circle"
845,"the mall at millenia"
846,"tokyo midtown"
847,"tokyo midtown"
848,"korsh mall"
849,"the outlets at orange"
850,"robinsons place manila"
851,"lujiazui shopping mall"
852,"king abdulaziz center"
853,"nanjing deji plaza"
854,"westfield parramatta"
855,"dubai mall"
856,takashimaya
857,"westfield parramatta"
858,"centro coyoacÃƒÂ¡n"
859,"robinsons place manila"
860,"siam paragon"
861,"aventura mall"
862,takashimaya
863,"galleria mall"
864,"galleria mall"
865,"central embassy"
866,"plaza satÃƒÂ©lite"
867,"the dubai mall"
868,"galeries lafayette"
869,"the shops at columbus circle"
870,"la rinascente"
871,"prada store tokyo"
872,"mall of america"
873,"dubai mall"
874,"forum istanbul"
875,"nanjing deji plaza"
876,"la rinascente"
877,"beverly center"
878,"moscow mall"
879,takashimaya
880,kanyon
881,"dubai mall"
882,"king abdulaziz center"
883,"chadstone shopping centre"
884,"la rinascente"
885,"chadstone shopping centre"
886,"plaza satÃƒÂ©lite"
887,"galleria mall"
888,"prada store tokyo"
889,"moscow mall"
890,"galeries lafayette"
891,"aventura mall"
892,"westfield parramatta"
893,"king of prussia mall"
894,"the grove"
895,"sm mall of asia"
896,"chadstone shopping centre"
897,"galeries lafayette"
898,"lujiazui shopping mall"
899,takashimaya
900,"the outlets at orange"
901,"westfield parramatta"
902,"prada store tokyo"
903,"fifth avenue"
904,"south coast plaza"
905,vivocity
906,"korsh mall"
907,"the grove"
908,"marina bay sands shopping mall"
909,"plaza satÃƒÂ©lite"
910,"chadstone shopping centre"
911,"prada store tokyo"
912,"mitsui outlet park"
913,"pavilion kuala lumpur"
914,"king abdulaziz center"
915,"dubai mall"
916,"fifth avenue"
917,"the grove"
918,"plaza satÃƒÂ©lite"
919,"westfield world trade center"
920,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
921,"galeries lafayette"
922,"kuala lumpur city centre (klcc)"
923,"westfield world trade center"
924,"mall of the emirates"
925,"marina bay sands shopping mall"
926,"la rinascente"
927,"mall of america"
928,"the grove"
929,"forum istanbul"
930,"sm seaside city cebu"
931,"korsh mall"
932,"aventura mall"
933,"chadstone shopping centre"
934,"the dubai mall"
935,"central embassy"
936,"sm seaside city cebu"
937,"aventura mall"
938,"moscow mall"
939,"korsh mall"
940,"sm mall of asia"
941,"korsh mall"
942,"aventura mall"
943,"la rinascente"
944,"lotte world mall"
945,takashimaya
946,"lotte world mall"
947,"zorlu center"
948,takashimaya
949,"istanbul cevahir avm"
950,"westfield parramatta"
951,"central embassy"
952,"chadstone shopping centre"
953,"the outlets at orange"
954,"kuala lumpur city centre (klcc)"
955,"faisalabad mall"
956,"mall of america"
957,"central embassy"
958,"aventura mall"
959,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
960,"beverly center"
961,"galleria vittorio emanuele ii"
962,"pavilion kuala lumpur"
963,"istanbul cevahir avm"
964,"the dubai mall"
965,"westfield world trade center"
966,"kuala lumpur city centre (klcc)"
967,"westfield world trade center"
968,"moscow mall"
969,"fifth avenue"
970,"mall of the emirates"
971,"aventura mall"
972,"mall of the emirates"
973,"robinsons place manila"
974,"korsh mall"
975,"aventura mall"
976,"sm seaside city cebu"
977,"forum istanbul"
978,"oasis mall"
979,"mall of america"
980,"westfield london"
981,"dubai mall"
982,"robinsons galleria"
983,"korsh mall"
984,"robinsons place manila"
985,kanyon
986,"westfield world trade center"
987,"mall of the emirates"
988,"westfield world trade center"
989,"mitsui outlet park"
990,"prada store tokyo"
991,"westfield london"
992,"robinsons galleria"
993,"chadstone shopping centre"
994,"westfield london"
995,"forum istanbul"
996,"westfield london"
997,"forum istanbul"
998,"nanjing deji plaza"
999,"lujiazui shopping mall"
1000,"galeries lafayette"
1001,"central embassy"
1002,"beverly center"
1003,"galleria vittorio emanuele ii"
1004,"tokyo midtown"
1005,"king abdulaziz center"
1006,"istanbul cevahir avm"
1007,"aventura mall"
1008,"centro coyoacÃƒÂ¡n"
1009,"robinsons galleria"
1010,"fifth avenue"
1011,"mall of the emirates"
1012,"mall of the emirates"
1013,"kuala lumpur city centre (klcc)"
1014,"the outlets at orange"
1015,vivocity
1016,"king of prussia mall"
1017,"dubai mall"
1018,kanyon
1019,"sm seaside city cebu"
1020,"la rinascente"
1021,"westfield parramatta"
1022,"central world"
1023,"istanbul cevahir avm"
1024,"faisalabad mall"
1025,"dubai mall"
1026,kanyon
1027,"beverly center"
1028,"oasis mall"
1029,"westfield london"
1030,"dubai mall"
1031,"robinsons place manila"
1032,"aventura mall"
1033,"korsh mall"
1034,"king of prussia mall"
1035,"the outlets at orange"
1036,"siam paragon"
1037,"sm seaside city cebu"
1038,"centro coyoacÃƒÂ¡n"
1039,kanyon
1040,"central embassy"
1041,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
1042,kanyon
1043,"sm mall of asia"
1044,"south coast plaza"
1045,"prada store tokyo"
1046,takashimaya
1047,"chadstone shopping centre"
1048,"sm seaside city cebu"
1049,"sm seaside city cebu"
1050,"mall of the emirates"
1051,"oasis mall"
1052,"westfield london"
1053,"galleria vittorio emanuele ii"
1054,"mall of the emirates"
1055,"king abdulaziz center"
1056,"chadstone shopping centre"
1057,"mall of the emirates"
1058,"westfield london"
1059,"central world"
1060,"the mall at millenia"
1061,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
1062,"lujiazui shopping mall"
1063,"forum istanbul"
1064,"central embassy"
1065,"the grove"
1066,"chadstone shopping centre"
1067,"king of prussia mall"
1068,"kuala lumpur city centre (klcc)"
1069,"plaza satÃƒÂ©lite"
1070,"robinsons place manila"
1071,"galleria vittorio emanuele ii"
1072,"mitsui outlet park"
1073,"la rinascente"
1074,"the shops at columbus circle"
1075,"sm seaside city cebu"
1076,"mitsui outlet park"
1077,"chadstone shopping centre"
1078,"westfield parramatta"
1079,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
1080,"siam paragon"
1081,"tokyo midtown"
1082,"galleria vittorio emanuele ii"
1083,"south coast plaza"
1084,"dubai mall"
1085,kanyon
1086,"south coast plaza"
1087,"tokyo midtown"
1088,"central world"
1089,"westfield world trade center"
1090,"fifth avenue"
1091,"robinsons place manila"
1092,"oasis mall"
1093,"fifth avenue"
1094,"galleria mall"
1095,"centro coyoacÃƒÂ¡n"
1096,"pavilion kuala lumpur"
1097,"king of prussia mall"
1098,"centro coyoacÃƒÂ¡n"
1099,"the outlets at orange"
1100,"king abdulaziz center"
1101,"sm mall of asia"
1102,"mall of the emirates"
1103,"lotte world mall"
1104,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
1105,"king abdulaziz center"
1106,"sm seaside city cebu"
1107,kanyon
1108,"the outlets at orange"
1109,"moscow mall"
1110,"forum istanbul"
1111,kanyon
1112,"the grove"
1113,vivocity
1114,"forum istanbul"
1115,"moscow mall"
1116,"galleria mall"
1117,"central world"
1118,"king of prussia mall"
1119,"centro santa fe"
1120,takashimaya
1121,"the mall at millenia"
1122,"sm mall of asia"
1123,"sm seaside city cebu"
1124,vivocity
1125,"pavilion kuala lumpur"
1126,"lotte world mall"
1127,"kuala lumpur city centre (klcc)"
1128,"king of prussia mall"
1129,"kuala lumpur city centre (klcc)"
1130,"south coast plaza"
1131,"central embassy"
1132,"central world"
1133,"westfield world trade center"
1134,"beverly center"
1135,"mall of america"
1136,"prada store tokyo"
1137,"robinsons galleria"
1138,"mitsui outlet park"
1139,"galeries lafayette"
