invoice_no,customer_id,gender,age,category,shopping_mall,country,quantity,price,payment_method,invoice_date,total_cost,normalized_spending,season,age_group,store_name
I118581,C242905,1,60,Technology,king abdulaziz center,Saudi Arabia,5,5250,Debit Card,06/03/2023,26250,1,Spring,36+,Samsung
I539150,C620158,0,43,Clothing,the outlets at orange,USA,5,1500.4,Debit Card,06/03/2023,7502,0.285790476,Spring,36+,H&M
I212910,C190278,0,55,Technology,galeries lafayette,France,2,2100,Cash,06/03/2023,4200,0.16,Spring,36+,Sony Store
I233465,C142237,1,36,Clothing,the grove,USA,5,1500.4,Cash,06/03/2023,7502,0.285790476,Spring,36+,Prada
I324451,C185924,1,56,Technology,galleria vittorio emanuele ii,Italy,4,4200,Cash,06/03/2023,16800,0.64,Spring,36+,Microsoft Store
I122753,C258047,0,34,Clothing,nanjing deji plaza,China,2,600.16,Cash,05/03/2023,1200.32,0.045726476,Spring,26-35,H&M
I256639,C158968,1,47,Cosmetics,forum istanbul,Turkey,4,162.64,Credit Card,05/03/2023,650.56,0.024783238,Spring,36+,MAC
I170254,C178603,1,35,Shoes,nanjing deji plaza,China,2,1200.34,Cash,05/03/2023,2400.68,0.091454476,Spring,26-35,Adidas
I228840,C128660,1,45,Clothing,sm mall of asia,Philippines,2,600.16,Credit Card,05/03/2023,1200.32,0.045726476,Spring,36+,Prada
I233226,C149085,0,57,Shoes,marina bay sands shopping mall,Singapore,4,2400.68,Cash,05/03/2023,9602.72,0.365817905,Spring,36+,Adidas
I129791,C331205,0,41,Technology,king abdulaziz center,Saudi Arabia,5,5250,Cash,05/03/2023,26250,1,Spring,36+,Microsoft Store
I328624,C145780,0,55,Food & Beverage,galleria vittorio emanuele ii,Italy,2,10.46,Credit Card,05/03/2023,20.92,0.000796952,Spring,36+,Mcdonald's
I123886,C726704,1,18,Cosmetics,mitsui outlet park,Japan,3,121.98,Debit Card,05/03/2023,365.94,0.013940571,Spring,18-25,Ulta Beauty
I127310,C128802,1,58,Toys,chadstone shopping centre,Australia,1,35.84,Credit Card,05/03/2023,35.84,0.001365333,Spring,36+,Hamleys
I238555,C170020,0,47,Clothing,central embassy,Thailand,1,300.08,Credit Card,05/03/2023,300.08,0.011431619,Spring,36+,Zara
I174016,C181137,1,57,Food & Beverage,sm seaside city cebu,Philippines,3,15.69,Credit Card,05/03/2023,47.07,0.001793143,Spring,36+,Pizza Hut
I147889,C292207,1,53,Souvenir,moscow mall,Russia,2,23.46,Debit Card,05/03/2023,46.92,0.001787429,Spring,36+,Hard Rock Cafe
I154195,C908773,0,52,Toys,vivocity,Singapore,4,143.36,Debit Card,05/03/2023,573.44,0.021845333,Spring,36+,Toys R Us
I732053,C264916,1,56,Food & Beverage,aventura mall,USA,2,10.46,Cash,05/03/2023,20.92,0.000796952,Spring,36+,Starbucks
I251259,C153581,0,28,Toys,central embassy,Thailand,3,107.52,Cash,05/03/2023,322.56,0.012288,Spring,26-35,Toys R Us
I240003,C696341,1,20,Food & Beverage,aventura mall,USA,5,26.15,Cash,05/03/2023,130.75,0.004980952,Spring,18-25,Mcdonald's
I321236,C274618,0,31,Souvenir,oasis mall,Egypt,3,35.19,Cash,05/03/2023,105.57,0.004021714,Spring,26-35,World Market
I682126,C277064,1,52,Souvenir,the shops at columbus circle,USA,1,11.73,Credit Card,05/03/2023,11.73,0.000446857,Spring,36+,The Souvenir Shop
I170572,C230650,1,35,Souvenir,kanyon,Turkey,4,46.92,Credit Card,04/03/2023,187.68,0.007149714,Spring,26-35,Hard Rock Cafe
I241948,C121616,1,40,Food & Beverage,aventura mall,USA,3,15.69,Credit Card,04/03/2023,47.07,0.001793143,Spring,36+,Taco Bell
I987494,C332610,1,32,Food & Beverage,zorlu center,Turkey,5,26.15,Cash,04/03/2023,130.75,0.004980952,Spring,26-35,Taco Bell
I165932,C237757,0,44,Cosmetics,avenue des champs-Ã©lysÃ©es,France,3,121.98,Credit Card,04/03/2023,365.94,0.013940571,Spring,36+,MAC
I507717,C212810,1,22,Food & Beverage,zorlu center,Turkey,2,10.46,Cash,04/03/2023,20.92,0.000796952,Spring,18-25,Taco Bell
I907490,C218713,0,25,Clothing,westfield parramatta,Australia,1,300.08,Credit Card,04/03/2023,300.08,0.011431619,Spring,18-25,Forever 21
I275410,C482212,1,47,Cosmetics,the dubai mall,UAE,2,81.32,Credit Card,04/03/2023,162.64,0.00619581,Spring,36+,Ulta Beauty
I320388,C191015,1,18,Cosmetics,galeries lafayette,France,1,40.66,Credit Card,04/03/2023,40.66,0.001548952,Spring,18-25,MAC
I103203,C137699,1,20,Toys,prada store tokyo,Japan,3,107.52,Cash,04/03/2023,322.56,0.012288,Spring,18-25,Toys R Us
I315914,C197830,1,34,Clothing,sm mall of asia,Philippines,1,300.08,Cash,04/03/2023,300.08,0.011431619,Spring,26-35,H&M
I103064,C274479,1,36,Toys,westfield parramatta,Australia,2,71.68,Cash,04/03/2023,143.36,0.005461333,Spring,36+,Disney Store
I417021,C216751,1,22,Food & Beverage,la rinascente,Italy,5,26.15,Credit Card,04/03/2023,130.75,0.004980952,Spring,18-25,Carrefour
I232389,C130963,1,44,Clothing,galleria vittorio emanuele ii,Italy,2,600.16,Debit Card,04/03/2023,1200.32,0.045726476,Spring,36+,Prada
I288379,C971161,1,19,Shoes,kuala lumpur city centre (klcc),Malaysia,1,600.17,Debit Card,04/03/2023,600.17,0.022863619,Spring,18-25,Adidas
I167019,C150782,1,37,Clothing,sm mall of asia,Philippines,3,900.24,Cash,04/03/2023,2700.72,0.102884571,Spring,36+,Prada
I229482,C339398,1,39,Clothing,avenue des champs-Ã©lysÃ©es,France,5,1500.4,Debit Card,04/03/2023,7502,0.285790476,Spring,36+,Zara
I299120,C647231,1,48,Clothing,tokyo midtown,Japan,5,1500.4,Cash,04/03/2023,7502,0.285790476,Spring,36+,Gap
I266102,C412970,1,67,Clothing,plaza satÃ©lite,Mexico,2,600.16,Cash,04/03/2023,1200.32,0.045726476,Spring,36+,Forever 21
I144865,C954014,0,65,Shoes,sm mall of asia,Philippines,4,2400.68,Cash,03/03/2023,9602.72,0.365817905,Spring,36+,Foot Locker
I759931,C395907,0,39,Shoes,mall of america,USA,4,2400.68,Credit Card,03/03/2023,9602.72,0.365817905,Spring,36+,Adidas
I826922,C938850,0,23,Clothing,kanyon,Turkey,4,1200.32,Cash,03/03/2023,4801.28,0.182905905,Spring,18-25,Prada
I268506,C308533,0,47,Clothing,nanjing deji plaza,China,4,1200.32,Credit Card,03/03/2023,4801.28,0.182905905,Spring,36+,Prada
I243311,C132246,1,40,Clothing,takashimaya,Japan,3,900.24,Cash,03/03/2023,2700.72,0.102884571,Spring,36+,Gap
I256173,C111961,1,54,Clothing,dubai mall,UAE,5,1500.4,Credit Card,03/03/2023,7502,0.285790476,Spring,36+,H&M
I200316,C289140,1,65,Clothing,aventura mall,USA,3,900.24,Cash,03/03/2023,2700.72,0.102884571,Spring,36+,H&M
I166626,C332667,1,66,Clothing,zorlu center,Turkey,4,1200.32,Debit Card,03/03/2023,4801.28,0.182905905,Spring,36+,H&M
I183315,C126024,1,56,Cosmetics,galleria vittorio emanuele ii,Italy,4,162.64,Cash,03/03/2023,650.56,0.024783238,Spring,36+,Sephora
I281908,C101068,0,52,Toys,centro santa fe,Mexico,5,179.2,Cash,03/03/2023,896,0.034133333,Spring,36+,LEGO Store
I734969,C317506,0,27,Shoes,galleria mall,Egypt,2,1200.34,Credit Card,03/03/2023,2400.68,0.091454476,Spring,26-35,Puma
I142647,C164782,1,44,Clothing,galleria mall,Egypt,1,300.08,Cash,03/03/2023,300.08,0.011431619,Spring,36+,Prada
I238595,C277050,1,33,Books,la rinascente,Italy,5,75.75,Cash,03/03/2023,378.75,0.014428571,Spring,26-35,Waterstones
I277974,C207180,1,31,Food & Beverage,galleria mall,Egypt,2,10.46,Debit Card,03/03/2023,20.92,0.000796952,Spring,26-35,Taco Bell
I901487,C100155,1,61,Clothing,galeries lafayette,France,1,300.08,Debit Card,03/03/2023,300.08,0.011431619,Spring,36+,Gap
I190741,C143047,0,48,Books,galleria mall,Egypt,3,45.45,Debit Card,03/03/2023,136.35,0.005194286,Spring,36+,Waterstones
I863900,C308263,0,67,Books,faisalabad mall,Pakistan,4,60.6,Credit Card,02/03/2023,242.4,0.009234286,Spring,36+,Barnes & Noble
I338107,C909576,1,44,Toys,chadstone shopping centre,Australia,2,71.68,Debit Card,02/03/2023,143.36,0.005461333,Spring,36+,LEGO Store
I230983,C321993,1,49,Clothing,galeries lafayette,France,1,300.08,Credit Card,02/03/2023,300.08,0.011431619,Spring,36+,Forever 21
I579325,C209884,1,61,Clothing,the shops at columbus circle,USA,1,300.08,Cash,02/03/2023,300.08,0.011431619,Spring,36+,Forever 21
I926005,C321337,1,57,Food & Beverage,robinsons galleria,Philippines,5,26.15,Credit Card,02/03/2023,130.75,0.004980952,Spring,36+,Mcdonald's
I201709,C210240,1,69,Souvenir,moscow mall,Russia,5,58.65,Credit Card,02/03/2023,293.25,0.011171429,Spring,36+,World Market
I114509,C713134,0,21,Cosmetics,central world,Thailand,1,40.66,Debit Card,02/03/2023,40.66,0.001548952,Spring,18-25,MAC
I752293,C211763,0,63,Clothing,mall of america,USA,4,1200.32,Cash,02/03/2023,4801.28,0.182905905,Spring,36+,Forever 21
I253592,C268460,0,23,Clothing,central embassy,Thailand,3,900.24,Credit Card,02/03/2023,2700.72,0.102884571,Spring,18-25,Prada
I294869,C138212,1,40,Clothing,central embassy,Thailand,3,900.24,Credit Card,02/03/2023,2700.72,0.102884571,Spring,36+,Forever 21
I863922,C856203,0,62,Shoes,dubai mall,UAE,3,1800.51,Cash,02/03/2023,5401.53,0.205772571,Spring,36+,Nike
I334008,C240937,0,61,Clothing,fifth avenue,USA,5,1500.4,Cash,02/03/2023,7502,0.285790476,Spring,36+,Prada
I272319,C992343,1,29,Cosmetics,centro santa fe,Mexico,5,203.3,Credit Card,02/03/2023,1016.5,0.03872381,Spring,26-35,MAC
I184802,C264305,0,41,Technology,beverly center,USA,2,2100,Debit Card,01/03/2023,4200,0.16,Spring,36+,Sony Store
I103368,C201379,0,60,Cosmetics,robinsons place manila,Philippines,5,203.3,Cash,01/03/2023,1016.5,0.03872381,Spring,36+,Ulta Beauty
I122320,C178384,0,61,Cosmetics,westfield parramatta,Australia,4,162.64,Debit Card,01/03/2023,650.56,0.024783238,Spring,36+,Ulta Beauty
I255180,C171373,1,41,Books,king abdulaziz center,Saudi Arabia,2,30.3,Debit Card,01/03/2023,60.6,0.002308571,Spring,36+,Waterstones
I434025,C233258,0,64,Food & Beverage,forum istanbul,Turkey,2,10.46,Cash,01/03/2023,20.92,0.000796952,Spring,36+,Carrefour
I203386,C744677,1,57,Food & Beverage,faisalabad mall,Pakistan,5,26.15,Cash,01/03/2023,130.75,0.004980952,Spring,36+,Mcdonald's
I244714,C120189,0,29,Food & Beverage,moscow mall,Russia,5,26.15,Cash,01/03/2023,130.75,0.004980952,Spring,26-35,Carrefour
I720616,C295083,1,19,Toys,westfield parramatta,Australia,3,107.52,Cash,01/03/2023,322.56,0.012288,Spring,18-25,Hamleys
I335491,C220263,0,58,Toys,dubai mall,UAE,2,71.68,Credit Card,01/03/2023,143.36,0.005461333,Spring,36+,Hamleys
I269966,C150623,1,18,Souvenir,aventura mall,USA,1,11.73,Cash,28/02/2023,11.73,0.000446857,Winter,18-25,World Market
I231266,C143178,1,69,Cosmetics,king of prussia mall,USA,3,121.98,Cash,28/02/2023,365.94,0.013940571,Winter,36+,MAC
I439549,C237929,1,37,Clothing,dubai mall,UAE,1,300.08,Cash,28/02/2023,300.08,0.011431619,Winter,36+,Forever 21
I274338,C311812,0,31,Cosmetics,fifth avenue,USA,1,40.66,Cash,28/02/2023,40.66,0.001548952,Winter,26-35,Sephora
I218234,C136585,1,52,Toys,istanbul cevahir avm,Turkey,3,107.52,Cash,28/02/2023,322.56,0.012288,Winter,36+,Toys R Us
I396685,C118879,1,63,Toys,the shops at columbus circle,USA,5,179.2,Credit Card,28/02/2023,896,0.034133333,Winter,36+,Disney Store
I137646,C162352,1,43,Clothing,siam paragon,Thailand,2,600.16,Cash,28/02/2023,1200.32,0.045726476,Winter,36+,H&M
I551572,C330253,0,53,Cosmetics,pavilion kuala lumpur,Malaysia,5,203.3,Cash,28/02/2023,1016.5,0.03872381,Winter,36+,The Body Shop
I773549,C769569,0,34,Clothing,aventura mall,USA,3,900.24,Credit Card,28/02/2023,2700.72,0.102884571,Winter,26-35,Prada
I184483,C207143,1,63,Cosmetics,westfield parramatta,Australia,5,203.3,Credit Card,28/02/2023,1016.5,0.03872381,Winter,36+,The Body Shop
I339045,C143701,1,37,Clothing,south coast plaza,USA,5,1500.4,Credit Card,28/02/2023,7502,0.285790476,Winter,36+,Gap
I704384,C129700,0,23,Cosmetics,the shops at columbus circle,USA,4,162.64,Debit Card,28/02/2023,650.56,0.024783238,Winter,18-25,Sephora
I254861,C181253,0,27,Cosmetics,central world,Thailand,4,162.64,Cash,28/02/2023,650.56,0.024783238,Winter,26-35,The Body Shop
I538752,C168008,1,27,Cosmetics,central embassy,Thailand,4,162.64,Debit Card,28/02/2023,650.56,0.024783238,Winter,26-35,Ulta Beauty
I122299,C226896,0,47,Technology,central world,Thailand,5,5250,Credit Card,27/02/2023,26250,1,Winter,36+,Samsung
I279761,C247150,0,60,Technology,fifth avenue,USA,4,4200,Cash,27/02/2023,16800,0.64,Winter,36+,Best Buy
I181782,C210669,1,58,Clothing,pavilion kuala lumpur,Malaysia,5,1500.4,Credit Card,27/02/2023,7502,0.285790476,Winter,36+,Prada
I676747,C974464,1,43,Shoes,kuala lumpur city centre (klcc),Malaysia,1,600.17,Cash,27/02/2023,600.17,0.022863619,Winter,36+,Adidas
I159515,C125424,1,39,Food & Beverage,istanbul cevahir avm,Turkey,2,10.46,Debit Card,27/02/2023,20.92,0.000796952,Winter,36+,Mcdonald's
I246506,C515980,0,25,Cosmetics,the outlets at orange,USA,2,81.32,Debit Card,27/02/2023,162.64,0.00619581,Winter,18-25,The Body Shop
I246290,C318594,1,50,Shoes,robinsons place manila,Philippines,1,600.17,Credit Card,27/02/2023,600.17,0.022863619,Winter,36+,Adidas
I950164,C263857,0,27,Souvenir,sm mall of asia,Philippines,1,11.73,Credit Card,27/02/2023,11.73,0.000446857,Winter,26-35,The Souvenir Shop
I188668,C307637,1,22,Food & Beverage,marina bay sands shopping mall,Singapore,4,20.92,Credit Card,26/02/2023,83.68,0.00318781,Winter,18-25,Mcdonald's
I204703,C284146,1,67,Food & Beverage,centro santa fe,Mexico,3,15.69,Credit Card,26/02/2023,47.07,0.001793143,Winter,36+,Taco Bell
I327063,C787075,0,63,Food & Beverage,lotte world mall,South Korea,3,15.69,Credit Card,26/02/2023,47.07,0.001793143,Winter,36+,Carrefour
I182063,C298511,0,59,Toys,prada store tokyo,Japan,4,143.36,Cash,26/02/2023,573.44,0.021845333,Winter,36+,LEGO Store
I170774,C120980,1,31,Toys,westfield london,UK,3,107.52,Credit Card,26/02/2023,322.56,0.012288,Winter,26-35,Toys R Us
I170160,C244213,0,34,Toys,the grove,USA,2,71.68,Debit Card,26/02/2023,143.36,0.005461333,Winter,26-35,LEGO Store
I302270,C188082,0,44,Souvenir,galeries lafayette,France,3,35.19,Credit Card,26/02/2023,105.57,0.004021714,Winter,36+,The Souvenir Shop
I161894,C179397,1,22,Souvenir,westfield london,UK,1,11.73,Cash,26/02/2023,11.73,0.000446857,Winter,18-25,World Market
I919290,C142709,1,56,Souvenir,westfield london,UK,2,23.46,Debit Card,26/02/2023,46.92,0.001787429,Winter,36+,The Souvenir Shop
I276145,C158475,0,34,Cosmetics,korsh mall,Egypt,3,121.98,Credit Card,26/02/2023,365.94,0.013940571,Winter,26-35,MAC
I138748,C162054,0,26,Clothing,dubai mall,UAE,2,600.16,Credit Card,26/02/2023,1200.32,0.045726476,Winter,26-35,Forever 21
I978735,C324524,0,25,Clothing,the outlets at orange,USA,5,1500.4,Cash,26/02/2023,7502,0.285790476,Winter,18-25,H&M
I180909,C114698,1,24,Shoes,avenue des champs-Ã©lysÃ©es,France,4,2400.68,Credit Card,26/02/2023,9602.72,0.365817905,Winter,18-25,Puma
I318625,C319935,0,48,Technology,kuala lumpur city centre (klcc),Malaysia,5,5250,Cash,26/02/2023,26250,1,Winter,36+,Best Buy
I164358,C226617,1,45,Cosmetics,faisalabad mall,Pakistan,5,203.3,Cash,26/02/2023,1016.5,0.03872381,Winter,36+,MAC
I231982,C187045,0,26,Clothing,galleria vittorio emanuele ii,Italy,4,1200.32,Credit Card,26/02/2023,4801.28,0.182905905,Winter,26-35,Zara
I333384,C163992,0,49,Clothing,the dubai mall,UAE,4,1200.32,Cash,26/02/2023,4801.28,0.182905905,Winter,36+,Prada
I478709,C290693,0,58,Technology,fifth avenue,USA,3,3150,Credit Card,26/02/2023,9450,0.36,Winter,36+,Samsung
I252056,C932441,1,19,Clothing,tokyo midtown,Japan,4,1200.32,Credit Card,26/02/2023,4801.28,0.182905905,Winter,18-25,Gap
I936222,C275576,0,29,Clothing,centro coyoacÃ¡n,Mexico,5,1500.4,Cash,26/02/2023,7502,0.285790476,Winter,26-35,Gap
I954071,C389397,0,22,Technology,faisalabad mall,Pakistan,4,4200,Credit Card,26/02/2023,16800,0.64,Winter,18-25,Sony Store
I127088,C305289,1,43,Clothing,aventura mall,USA,3,900.24,Debit Card,26/02/2023,2700.72,0.102884571,Winter,36+,H&M
I281414,C159441,1,48,Food & Beverage,the shops at columbus circle,USA,1,5.23,Credit Card,26/02/2023,5.23,0.000199238,Winter,36+,Pizza Hut
I323125,C321200,0,66,Toys,aventura mall,USA,2,71.68,Debit Card,25/02/2023,143.36,0.005461333,Winter,36+,Disney Store
I244011,C212998,1,28,Toys,korsh mall,Egypt,2,71.68,Cash,25/02/2023,143.36,0.005461333,Winter,26-35,LEGO Store
I534805,C293973,1,49,Cosmetics,chadstone shopping centre,Australia,1,40.66,Cash,25/02/2023,40.66,0.001548952,Winter,36+,The Body Shop
I276082,C934262,1,38,Clothing,robinsons place manila,Philippines,1,300.08,Debit Card,25/02/2023,300.08,0.011431619,Winter,36+,Gap
I113167,C439858,1,52,Souvenir,sm seaside city cebu,Philippines,1,11.73,Cash,25/02/2023,11.73,0.000446857,Winter,36+,The Souvenir Shop
I374529,C252773,1,59,Food & Beverage,kanyon,Turkey,1,5.23,Cash,25/02/2023,5.23,0.000199238,Winter,36+,Mcdonald's
I278286,C929166,0,54,Cosmetics,central world,Thailand,3,121.98,Credit Card,25/02/2023,365.94,0.013940571,Winter,36+,Sephora
I139097,C182764,1,42,Souvenir,central world,Thailand,4,46.92,Credit Card,25/02/2023,187.68,0.007149714,Winter,36+,World Market
I704906,C491785,1,65,Toys,kuala lumpur city centre (klcc),Malaysia,4,143.36,Cash,25/02/2023,573.44,0.021845333,Winter,36+,LEGO Store
I300391,C143516,1,40,Shoes,the dubai mall,UAE,3,1800.51,Cash,25/02/2023,5401.53,0.205772571,Winter,36+,Foot Locker
I596210,C150566,1,67,Cosmetics,lujiazui shopping mall,China,5,203.3,Cash,25/02/2023,1016.5,0.03872381,Winter,36+,The Body Shop
I225830,C242037,1,55,Clothing,sm mall of asia,Philippines,5,1500.4,Cash,25/02/2023,7502,0.285790476,Winter,36+,Forever 21
I126571,C243452,1,58,Clothing,lujiazui shopping mall,China,3,900.24,Cash,25/02/2023,2700.72,0.102884571,Winter,36+,H&M
I260671,C264865,1,38,Technology,avenue des champs-Ã©lysÃ©es,France,2,2100,Credit Card,25/02/2023,4200,0.16,Winter,36+,Samsung
I136210,C203206,1,60,Clothing,fifth avenue,USA,4,1200.32,Credit Card,25/02/2023,4801.28,0.182905905,Winter,36+,Prada
I289371,C178719,0,50,Technology,dubai mall,UAE,4,4200,Cash,25/02/2023,16800,0.64,Winter,36+,Sony Store
I289186,C261638,1,35,Toys,galleria mall,Egypt,5,179.2,Credit Card,25/02/2023,896,0.034133333,Winter,26-35,LEGO Store
I483830,C294946,1,53,Shoes,westfield london,UK,5,3000.85,Cash,25/02/2023,15004.25,0.571590476,Winter,36+,Foot Locker
I140043,C644268,1,50,Shoes,galeries lafayette,France,5,3000.85,Debit Card,24/02/2023,15004.25,0.571590476,Winter,36+,Adidas
I466698,C303444,1,51,Shoes,lotte world mall,South Korea,3,1800.51,Debit Card,24/02/2023,5401.53,0.205772571,Winter,36+,Foot Locker
I319160,C166203,0,36,Cosmetics,pavilion kuala lumpur,Malaysia,5,203.3,Cash,24/02/2023,1016.5,0.03872381,Winter,36+,Sephora
I261818,C200772,0,33,Technology,oasis mall,Egypt,1,1050,Credit Card,24/02/2023,1050,0.04,Winter,26-35,Microsoft Store
I254753,C170102,1,65,Cosmetics,oasis mall,Egypt,4,162.64,Cash,24/02/2023,650.56,0.024783238,Winter,36+,Ulta Beauty
I135566,C306867,0,68,Clothing,westfield world trade center,USA,2,600.16,Cash,24/02/2023,1200.32,0.045726476,Winter,36+,Zara
I227743,C194405,1,24,Clothing,moscow mall,Russia,2,600.16,Credit Card,24/02/2023,1200.32,0.045726476,Winter,18-25,Gap
I194729,C561708,0,55,Shoes,the dubai mall,UAE,4,2400.68,Debit Card,24/02/2023,9602.72,0.365817905,Winter,36+,Puma
I711092,C231287,0,54,Clothing,kanyon,Turkey,4,1200.32,Credit Card,24/02/2023,4801.28,0.182905905,Winter,36+,Prada
I177813,C247391,1,31,Clothing,kanyon,Turkey,2,600.16,Credit Card,24/02/2023,1200.32,0.045726476,Winter,26-35,Prada
I114576,C495223,1,40,Cosmetics,prada store tokyo,Japan,1,40.66,Cash,24/02/2023,40.66,0.001548952,Winter,36+,MAC
I288481,C541025,1,21,Cosmetics,robinsons place manila,Philippines,3,121.98,Credit Card,24/02/2023,365.94,0.013940571,Winter,18-25,Sephora
I196941,C282400,1,56,Cosmetics,dubai mall,UAE,1,40.66,Credit Card,24/02/2023,40.66,0.001548952,Winter,36+,The Body Shop
I242563,C254044,1,18,Toys,nanjing deji plaza,China,1,35.84,Credit Card,24/02/2023,35.84,0.001365333,Winter,18-25,LEGO Store
I405793,C286254,0,69,Clothing,the shops at columbus circle,USA,1,300.08,Cash,24/02/2023,300.08,0.011431619,Winter,36+,Gap
I144600,C727838,1,55,Food & Beverage,plaza satÃ©lite,Mexico,4,20.92,Cash,24/02/2023,83.68,0.00318781,Winter,36+,Mcdonald's
I151310,C281292,1,34,Clothing,takashimaya,Japan,1,300.08,Credit Card,24/02/2023,300.08,0.011431619,Winter,26-35,Gap
I504141,C558480,1,56,Cosmetics,the dubai mall,UAE,1,40.66,Credit Card,23/02/2023,40.66,0.001548952,Winter,36+,Sephora
