store_id,store_name,shopping_mall
161,"LEGO Store","korsh mall"
162,"The Body Shop","chadstone shopping centre"
163,Gap,"robinsons place manila"
164,"The Souvenir Shop","sm seaside city cebu"
165,Mcdonald's,kanyon
166,Sephora,"central world"
167,"World Market","central world"
168,"LEGO Store","kuala lumpur city centre (klcc)"
169,"Foot Locker","the dubai mall"
170,"The Body Shop","lujiazui shopping mall"
171,"Forever 21","sm mall of asia"
172,H&M,"lujiazui shopping mall"
173,Samsung,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
174,Prada,"fifth avenue"
175,"Sony Store","dubai mall"
176,"LEGO Store","galleria mall"
177,"Foot Locker","westfield london"
178,Adidas,"galeries lafayette"
179,"Foot Locker","lotte world mall"
180,Sephora,"pavilion kuala lumpur"
181,"Microsoft Store","oasis mall"
182,"Ulta Beauty","oasis mall"
183,Zara,"westfield world trade center"
184,Gap,"moscow mall"
185,Puma,"the dubai mall"
186,Prada,kanyon
187,Prada,kanyon
188,MAC,"prada store tokyo"
189,Sephora,"robinsons place manila"
190,"The Body Shop","dubai mall"
191,"LEGO Store","nanjing deji plaza"
192,Gap,"the shops at columbus circle"
193,Mcdonald's,"plaza satÃƒÂ©lite"
194,Gap,takashimaya
195,Sephora,"the dubai mall"
196,Carrefour,"forum istanbul"
197,"LEGO Store","zorlu center"
198,Starbucks,"mall of america"
199,Prada,"lotte world mall"
200,"LEGO Store","tokyo midtown"
201,"Disney Store","sm seaside city cebu"
202,Carrefour,"westfield world trade center"
203,"Taco Bell","beverly center"
204,"Forever 21","marina bay sands shopping mall"
205,Prada,"beverly center"
206,Prada,"siam paragon"
207,"Apple Store","dubai mall"
208,"Disney Store","istanbul cevahir avm"
209,H&M,takashimaya
210,Adidas,"galleria vittorio emanuele ii"
211,"Forever 21","king abdulaziz center"
212,"Forever 21","south coast plaza"
213,"Disney Store","sm seaside city cebu"
214,H&M,"forum istanbul"
215,Zara,"robinsons galleria"
216,Samsung,"forum istanbul"
217,Zara,"mall of america"
218,"New Balance","chadstone shopping centre"
219,"The Body Shop","dubai mall"
220,Prada,"centro coyoacÃƒÂ¡n"
221,Starbucks,"dubai mall"
222,Gap,"dubai mall"
223,Starbucks,"south coast plaza"
224,"Toys R Us","sm mall of asia"
225,"The Body Shop","robinsons galleria"
226,Kinokuniya,"aventura mall"
227,MAC,"galleria vittorio emanuele ii"
228,Prada,"central world"
229,Carrefour,takashimaya
230,Zara,"pavilion kuala lumpur"
231,"Ulta Beauty","sm seaside city cebu"
232,Sephora,"king abdulaziz center"
233,Starbucks,"faisalabad mall"
234,"World Market","sm mall of asia"
235,MAC,"pavilion kuala lumpur"
236,Mcdonald's,"beverly center"
237,H&M,"the mall at millenia"
238,"Foot Locker","chadstone shopping centre"
239,Kinokuniya,"westfield london"
240,"Pizza Hut","zorlu center"
241,"Taco Bell","galeries lafayette"
242,"The Souvenir Shop","pavilion kuala lumpur"
243,"Taco Bell","avenue des champs-ÃƒÂ©lysÃƒÂ©es"
244,"Taco Bell","galeries lafayette"
245,Prada,"lotte world mall"
246,Gap,"robinsons galleria"
247,Prada,"the dubai mall"
248,Gap,"moscow mall"
249,Nike,"robinsons place manila"
250,"New Balance","mall of the emirates"
251,"The Body Shop","central embassy"
252,Gap,"mall of the emirates"
253,Puma,"the dubai mall"
254,Sephora,"robinsons galleria"
255,"Forever 21",kanyon
256,Adidas,"westfield london"
257,"Forever 21","the shops at columbus circle"
258,Gap,"mall of the emirates"
259,Zara,"westfield world trade center"
260,Adidas,"moscow mall"
261,"Taco Bell","dubai mall"
262,Kinokuniya,"centro coyoacÃƒÂ¡n"
263,Prada,"faisalabad mall"
264,"Disney Store","king of prussia mall"
265,Books-A-Million,"westfield london"
266,Sephora,"faisalabad mall"
267,Mcdonald's,"king of prussia mall"
268,Zara,"the grove"
269,"New Balance","chadstone shopping centre"
270,H&M,"mitsui outlet park"
271,"Forever 21",vivocity
272,Prada,"the mall at millenia"
273,H&M,"korsh mall"
274,"Taco Bell","dubai mall"
275,H&M,"chadstone shopping centre"
276,"Hard Rock Cafe","mall of america"
277,"LEGO Store","dubai mall"
278,Starbucks,"galeries lafayette"
279,Sephora,"centro coyoacÃƒÂ¡n"
280,H&M,"dubai mall"
281,"LEGO Store","lujiazui shopping mall"
282,Starbucks,"the shops at columbus circle"
283,Starbucks,"robinsons galleria"
284,H&M,"central world"
285,Sephora,"the dubai mall"
286,"The Body Shop","korsh mall"
287,"Barnes & Noble",kanyon
288,"Ulta Beauty","galleria mall"
289,"Pizza Hut","robinsons galleria"
290,"Taco Bell","lujiazui shopping mall"
291,Prada,"tokyo midtown"
292,MAC,"prada store tokyo"
293,Zara,"the grove"
294,Zara,"the grove"
295,"Disney Store","centro coyoacÃƒÂ¡n"
296,Gap,"the shops at columbus circle"
297,Gap,"zorlu center"
298,Puma,"mitsui outlet park"
299,Zara,"the dubai mall"
300,"Forever 21","oasis mall"
301,"Forever 21","chadstone shopping centre"
302,Zara,"la rinascente"
303,"Taco Bell","la rinascente"
304,Puma,"the grove"
305,"Hard Rock Cafe","tokyo midtown"
306,Starbucks,"kuala lumpur city centre (klcc)"
307,"Ulta Beauty","fifth avenue"
308,"Taco Bell","moscow mall"
309,Gap,"mall of america"
310,Gap,"istanbul cevahir avm"
311,H&M,"mall of america"
312,Carrefour,"kuala lumpur city centre (klcc)"
313,Zara,"westfield world trade center"
314,"World Market","tokyo midtown"
315,"Taco Bell","faisalabad mall"
316,"Forever 21","the dubai mall"
317,"Best Buy",kanyon
318,"The Body Shop","the shops at columbus circle"
319,"New Balance","the shops at columbus circle"
320,H&M,"galeries lafayette"
321,MAC,"lujiazui shopping mall"
322,"Ulta Beauty","aventura mall"
323,H&M,"galleria mall"
324,"Forever 21","avenue des champs-ÃƒÂ©lysÃƒÂ©es"
325,Prada,"chadstone shopping centre"
326,"Forever 21","central world"
327,"The Body Shop","plaza satÃƒÂ©lite"
328,Starbucks,"tokyo midtown"
329,"Forever 21","westfield london"
330,"Taco Bell","la rinascente"
331,Mcdonald's,"king abdulaziz center"
332,"The Souvenir Shop","beverly center"
333,Carrefour,"beverly center"
334,"Taco Bell","korsh mall"
335,Hamleys,"mall of the emirates"
336,Gap,"central embassy"
337,Prada,"korsh mall"
338,Sephora,"centro santa fe"
339,Zara,"robinsons place manila"
340,Prada,"westfield parramatta"
341,"Apple Store","la rinascente"
342,"Forever 21","galeries lafayette"
343,"The Body Shop","central world"
344,Gap,"dubai mall"
345,"Sony Store","aventura mall"
346,Hamleys,"sm seaside city cebu"
347,Zara,"la rinascente"
348,Waterstones,"istanbul cevahir avm"
349,"LEGO Store","central embassy"
350,"Toys R Us","istanbul cevahir avm"
351,Gap,"galleria mall"
352,Mcdonald's,"oasis mall"
353,"Toys R Us","sm mall of asia"
354,"The Souvenir Shop","the mall at millenia"
355,"The Body Shop","dubai mall"
356,Adidas,"centro coyoacÃƒÂ¡n"
357,Zara,"westfield parramatta"
358,Prada,"galleria mall"
359,"Forever 21","faisalabad mall"
360,"Forever 21","mall of america"
361,Prada,"fifth avenue"
362,"New Balance","lujiazui shopping mall"
363,H&M,"kuala lumpur city centre (klcc)"
364,Zara,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
365,"The Body Shop","aventura mall"
366,Prada,"centro santa fe"
367,H&M,"the outlets at orange"
368,Prada,"lotte world mall"
369,Gap,"dubai mall"
370,H&M,"moscow mall"
371,Gap,"faisalabad mall"
372,"Forever 21","korsh mall"
373,"Barnes & Noble",takashimaya
374,"Forever 21","kuala lumpur city centre (klcc)"
375,"The Body Shop","king of prussia mall"
376,"Toys R Us","aventura mall"
377,Carrefour,"king abdulaziz center"
378,"Disney Store","robinsons place manila"
379,Starbucks,"galleria mall"
380,Starbucks,"faisalabad mall"
381,Kinokuniya,"sm mall of asia"
382,Mcdonald's,"mitsui outlet park"
383,Kinokuniya,"la rinascente"
384,Gap,"zorlu center"
385,Hamleys,"istanbul cevahir avm"
386,Hamleys,"centro santa fe"
387,"The Souvenir Shop","faisalabad mall"
388,"Shop the World","sm mall of asia"
389,Books-A-Million,"south coast plaza"
390,"Toys R Us","chadstone shopping centre"
391,"Disney Store","robinsons galleria"
392,H&M,"robinsons galleria"
393,MAC,"marina bay sands shopping mall"
394,Zara,kanyon
395,"Forever 21","south coast plaza"
396,Adidas,"prada store tokyo"
397,"Forever 21","chadstone shopping centre"
398,H&M,"galleria mall"
399,H&M,"forum istanbul"
400,H&M,"westfield parramatta"
401,Prada,"korsh mall"
402,Gap,"aventura mall"
403,Prada,takashimaya
404,"Best Buy","plaza satÃƒÂ©lite"
405,"World Market",kanyon
406,"Taco Bell","king of prussia mall"
407,Starbucks,kanyon
408,Prada,"pavilion kuala lumpur"
409,"Pizza Hut","moscow mall"
410,Mcdonald's,"chadstone shopping centre"
411,Puma,"aventura mall"
412,Mcdonald's,"galeries lafayette"
413,Sephora,"the grove"
414,"Pizza Hut","the shops at columbus circle"
415,Zara,"chadstone shopping centre"
416,"World Market","sm seaside city cebu"
417,"Pizza Hut","nanjing deji plaza"
418,"New Balance","dubai mall"
419,H&M,"pavilion kuala lumpur"
420,Prada,"prada store tokyo"
421,H&M,vivocity
422,"Best Buy","pavilion kuala lumpur"
423,H&M,takashimaya
424,"New Balance","centro coyoacÃƒÂ¡n"
425,"Microsoft Store","westfield world trade center"
426,Zara,"the grove"
427,Prada,"forum istanbul"
428,Gap,"dubai mall"
429,H&M,"lujiazui shopping mall"
430,Gap,"central embassy"
431,H&M,"oasis mall"
432,MAC,"zorlu center"
433,Zara,"oasis mall"
434,"Taco Bell","the dubai mall"
435,Mcdonald's,"westfield parramatta"
436,"Pizza Hut","westfield london"
437,Sephora,"galeries lafayette"
438,Carrefour,"fifth avenue"
439,H&M,"dubai mall"
440,"World Market","oasis mall"
441,H&M,takashimaya
442,Kinokuniya,"faisalabad mall"
443,Mcdonald's,"mall of america"
444,"Pizza Hut","zorlu center"
445,"Pizza Hut","oasis mall"
446,"Ulta Beauty","lujiazui shopping mall"
447,"Pizza Hut","plaza satÃƒÂ©lite"
448,"Forever 21","oasis mall"
449,Prada,"mall of america"
450,"Taco Bell","forum istanbul"
451,"LEGO Store","lotte world mall"
452,"Forever 21","the dubai mall"
453,Nike,"westfield parramatta"
454,H&M,"westfield parramatta"
455,Gap,"prada store tokyo"
456,"Sony Store","oasis mall"
457,"Foot Locker","galeries lafayette"
458,Samsung,"faisalabad mall"
459,Zara,"the mall at millenia"
460,"Sony Store","westfield parramatta"
461,Prada,"fifth avenue"
462,H&M,"sm seaside city cebu"
463,Mcdonald's,"oasis mall"
464,Sephora,"sm mall of asia"
465,Kinokuniya,"lujiazui shopping mall"
466,"Taco Bell","centro santa fe"
467,Zara,kanyon
468,"LEGO Store","the shops at columbus circle"
469,"Shop the World","la rinascente"
470,Starbucks,kanyon
471,Carrefour,"the outlets at orange"
472,"Shop the World","sm seaside city cebu"
473,MAC,"zorlu center"
474,Sephora,"westfield world trade center"
475,Carrefour,"the shops at columbus circle"
476,Mcdonald's,"the grove"
477,Carrefour,"mall of america"
478,"Sony Store","korsh mall"
479,Gap,"galleria mall"
480,"New Balance","sm mall of asia"
481,H&M,"the mall at millenia"
482,"Apple Store",takashimaya
483,Zara,"centro coyoacÃƒÂ¡n"
484,H&M,"aventura mall"
485,"Ulta Beauty","dubai mall"
486,Gap,"mall of america"
487,"The Body Shop","pavilion kuala lumpur"
488,"Disney Store","centro santa fe"
489,"Microsoft Store",takashimaya
490,"Forever 21","beverly center"
491,Puma,"pavilion kuala lumpur"
492,Gap,"lujiazui shopping mall"
493,Carrefour,"mall of america"
494,Hamleys,"galleria mall"
495,Waterstones,"mall of america"
496,"The Body Shop","central embassy"
497,"World Market","mitsui outlet park"
498,Starbucks,"the mall at millenia"
499,Sephora,"sm seaside city cebu"
500,"Forever 21","galleria mall"
501,"Hard Rock Cafe","lotte world mall"
502,"The Body Shop","centro santa fe"
503,MAC,"plaza satÃƒÂ©lite"
504,"Barnes & Noble","galleria mall"
505,"Disney Store","central embassy"
506,Carrefour,"central embassy"
507,"The Body Shop","the shops at columbus circle"
508,Gap,"beverly center"
509,H&M,"galleria mall"
510,Gap,"plaza satÃƒÂ©lite"
511,Zara,"mall of america"
512,"The Body Shop","mall of the emirates"
513,H&M,"sm mall of asia"
514,Zara,"forum istanbul"
515,H&M,"the dubai mall"
516,Zara,"siam paragon"
517,"Ulta Beauty","prada store tokyo"
518,Gap,"moscow mall"
519,Prada,"galleria vittorio emanuele ii"
520,"Foot Locker","westfield london"
521,H&M,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
522,Prada,"forum istanbul"
523,"Ulta Beauty","westfield world trade center"
524,Puma,"korsh mall"
525,"World Market","oasis mall"
526,Starbucks,"fifth avenue"
527,"Pizza Hut","robinsons place manila"
528,Zara,"galleria mall"
529,Gap,"moscow mall"
530,"Toys R Us","plaza satÃƒÂ©lite"
531,Hamleys,"central world"
532,"Pizza Hut","beverly center"
533,"Disney Store","the mall at millenia"
534,Sephora,"central embassy"
535,"Barnes & Noble","oasis mall"
536,"World Market","plaza satÃƒÂ©lite"
537,"Forever 21","la rinascente"
538,Prada,"lujiazui shopping mall"
539,"Ulta Beauty","robinsons place manila"
540,"Sony Store","the dubai mall"
541,"Ulta Beauty","nanjing deji plaza"
542,"The Body Shop","kuala lumpur city centre (klcc)"
543,Puma,"king abdulaziz center"
544,"Forever 21","mitsui outlet park"
545,Gap,"fifth avenue"
546,Prada,"king abdulaziz center"
547,Starbucks,"mall of the emirates"
548,Carrefour,"westfield parramatta"
549,Gap,"galleria vittorio emanuele ii"
550,Sephora,"westfield parramatta"
551,"Toys R Us","galleria mall"
552,"Barnes & Noble","fifth avenue"
553,MAC,"lotte world mall"
554,Puma,"westfield london"
555,Mcdonald's,"moscow mall"
556,Carrefour,"la rinascente"
557,"LEGO Store","dubai mall"
558,"LEGO Store","istanbul cevahir avm"
559,Samsung,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
560,Gap,"central embassy"
561,"The Body Shop","galleria vittorio emanuele ii"
562,"Best Buy","south coast plaza"
563,"Forever 21","mall of the emirates"
564,MAC,"marina bay sands shopping mall"
565,Zara,"galleria vittorio emanuele ii"
566,Prada,"siam paragon"
567,H&M,"centro santa fe"
568,"Pizza Hut","fifth avenue"
569,"Taco Bell","lujiazui shopping mall"
570,"World Market","mitsui outlet park"
571,Mcdonald's,"dubai mall"
572,Waterstones,"westfield world trade center"
573,Carrefour,"tokyo midtown"
574,"Toys R Us","galeries lafayette"
575,"LEGO Store","robinsons galleria"
576,"LEGO Store","galleria mall"
577,"New Balance","avenue des champs-ÃƒÂ©lysÃƒÂ©es"
578,MAC,"robinsons place manila"
579,Books-A-Million,"moscow mall"
580,Kinokuniya,"aventura mall"
581,Carrefour,"korsh mall"
582,Carrefour,"king abdulaziz center"
583,"Barnes & Noble","central embassy"
584,Mcdonald's,"forum istanbul"
585,"LEGO Store","sm seaside city cebu"
586,"Microsoft Store","nanjing deji plaza"
587,H&M,"robinsons place manila"
588,MAC,"king of prussia mall"
589,"Foot Locker","moscow mall"
590,Prada,"the mall at millenia"
591,Zara,"the shops at columbus circle"
592,"Foot Locker","robinsons place manila"
593,Zara,"lujiazui shopping mall"
594,Samsung,"robinsons place manila"
595,H&M,"istanbul cevahir avm"
596,Prada,"robinsons place manila"
597,Starbucks,"tokyo midtown"
598,"LEGO Store","south coast plaza"
599,Gap,"galeries lafayette"
600,"Pizza Hut","westfield world trade center"
601,"Taco Bell","zorlu center"
602,"Foot Locker","pavilion kuala lumpur"
603,Zara,"sm mall of asia"
604,Adidas,"faisalabad mall"
605,"Ulta Beauty","centro santa fe"
606,"New Balance","sm seaside city cebu"
607,"Best Buy","galleria mall"
608,"New Balance","westfield parramatta"
609,H&M,kanyon
610,Puma,"the dubai mall"
611,Zara,"marina bay sands shopping mall"
612,"Forever 21","lujiazui shopping mall"
613,"Pizza Hut","the dubai mall"
614,"LEGO Store","south coast plaza"
615,"Disney Store","robinsons place manila"
616,"Pizza Hut","dubai mall"
617,H&M,"fifth avenue"
618,MAC,"istanbul cevahir avm"
619,"The Body Shop","chadstone shopping centre"
620,"The Souvenir Shop",kanyon
621,"Taco Bell","siam paragon"
622,Kinokuniya,"mall of the emirates"
623,Hamleys,"prada store tokyo"
624,H&M,"westfield world trade center"
625,"Disney Store","la rinascente"
626,Starbucks,"nanjing deji plaza"
627,Starbucks,"fifth avenue"
628,"Shop the World","faisalabad mall"
629,"Pizza Hut","siam paragon"
630,H&M,"king abdulaziz center"
631,Hamleys,"sm mall of asia"
632,Prada,"the grove"
633,"Forever 21","plaza satÃƒÂ©lite"
634,Gap,"siam paragon"
635,"Foot Locker","central embassy"
636,"Forever 21","faisalabad mall"
637,Gap,"lujiazui shopping mall"
638,"Forever 21","the outlets at orange"
639,Adidas,"sm mall of asia"
640,Gap,kanyon
641,Gap,"westfield world trade center"
642,Prada,"fifth avenue"
643,Gap,"centro santa fe"
644,Zara,takashimaya
645,Adidas,"lujiazui shopping mall"
646,"The Body Shop","istanbul cevahir avm"
647,H&M,"kuala lumpur city centre (klcc)"
648,Gap,"mitsui outlet park"
649,Zara,"nanjing deji plaza"
650,"New Balance","centro santa fe"
651,Zara,"kuala lumpur city centre (klcc)"
652,Carrefour,"nanjing deji plaza"
653,"Pizza Hut","prada store tokyo"
654,"Disney Store","king abdulaziz center"
655,"Toys R Us","marina bay sands shopping mall"
656,Gap,"the shops at columbus circle"
657,Gap,"sm mall of asia"
658,H&M,"plaza satÃƒÂ©lite"
659,Hamleys,"moscow mall"
660,"Barnes & Noble","beverly center"
661,"Pizza Hut",kanyon
662,Waterstones,"prada store tokyo"
663,"New Balance","kuala lumpur city centre (klcc)"
664,"Pizza Hut","istanbul cevahir avm"
665,Hamleys,"plaza satÃƒÂ©lite"
666,"Taco Bell","westfield parramatta"
667,Starbucks,"westfield world trade center"
668,Sephora,"robinsons galleria"
669,Sephora,"siam paragon"
670,"Apple Store","the grove"
671,"Forever 21","galeries lafayette"
672,Prada,"prada store tokyo"
673,"Forever 21","centro coyoacÃƒÂ¡n"
674,"Ulta Beauty","central embassy"
675,"The Body Shop","centro santa fe"
676,Hamleys,"mall of the emirates"
677,Gap,"westfield world trade center"
678,Adidas,kanyon
679,"Foot Locker","kuala lumpur city centre (klcc)"
680,Nike,"westfield world trade center"
681,Samsung,"dubai mall"
682,Gap,"zorlu center"
683,Sephora,"siam paragon"
684,Prada,"lotte world mall"
685,"The Body Shop","robinsons place manila"
686,"The Body Shop","moscow mall"
687,"Taco Bell","beverly center"
688,MAC,"prada store tokyo"
689,Mcdonald's,"oasis mall"
690,Carrefour,"pavilion kuala lumpur"
691,Kinokuniya,takashimaya
692,"Pizza Hut","nanjing deji plaza"
693,Gap,"oasis mall"
694,MAC,"oasis mall"
695,"The Body Shop","aventura mall"
696,Starbucks,"the mall at millenia"
697,"Barnes & Noble","plaza satÃƒÂ©lite"
698,Gap,"the mall at millenia"
699,MAC,"sm seaside city cebu"
700,"Forever 21","siam paragon"
701,Prada,kanyon
702,Sephora,"pavilion kuala lumpur"
703,"Forever 21","sm seaside city cebu"
704,Puma,kanyon
705,"Microsoft Store","mitsui outlet park"
706,"Forever 21","la rinascente"
707,Hamleys,"dubai mall"
708,H&M,kanyon
709,"LEGO Store","dubai mall"
710,"Apple Store","aventura mall"
711,"Toys R Us","galleria vittorio emanuele ii"
712,Starbucks,"mall of the emirates"
713,"World Market","westfield parramatta"
714,"Foot Locker","the mall at millenia"
715,Sephora,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
716,"Toys R Us","istanbul cevahir avm"
717,Carrefour,"central embassy"
718,"Pizza Hut","galleria mall"
719,Starbucks,"pavilion kuala lumpur"
720,Prada,"pavilion kuala lumpur"
721,Prada,"westfield world trade center"
722,"Toys R Us",vivocity
723,"Microsoft Store","forum istanbul"
724,Gap,"lujiazui shopping mall"
725,"Apple Store","galleria vittorio emanuele ii"
726,Prada,"kuala lumpur city centre (klcc)"
727,"Forever 21","tokyo midtown"
728,"Apple Store","south coast plaza"
729,"Taco Bell","the shops at columbus circle"
730,Mcdonald's,"oasis mall"
731,Prada,"siam paragon"
732,Hamleys,"pavilion kuala lumpur"
733,Books-A-Million,kanyon
734,H&M,"siam paragon"
735,Zara,"kuala lumpur city centre (klcc)"
736,Nike,"lujiazui shopping mall"
737,Gap,"mall of america"
738,Sephora,"dubai mall"
739,"Ulta Beauty","king of prussia mall"
740,Hamleys,"mitsui outlet park"
741,"Taco Bell","aventura mall"
742,"Ulta Beauty","marina bay sands shopping mall"
743,"Taco Bell","istanbul cevahir avm"
744,Zara,"the dubai mall"
745,"Taco Bell","forum istanbul"
746,Hamleys,"dubai mall"
747,Mcdonald's,"dubai mall"
748,"Ulta Beauty","avenue des champs-ÃƒÂ©lysÃƒÂ©es"
749,MAC,"centro coyoacÃƒÂ¡n"
750,"Taco Bell","korsh mall"
751,Sephora,"forum istanbul"
752,MAC,"pavilion kuala lumpur"
753,"The Body Shop","fifth avenue"
754,"Ulta Beauty","central embassy"
755,"Disney Store","central embassy"
756,Zara,"avenue des champs-ÃƒÂ©lysÃƒÂ©es"
757,Sephora,"dubai mall"
758,Zara,"plaza satÃƒÂ©lite"
759,Zara,"korsh mall"
760,MAC,"westfield world trade center"
761,"Best Buy","central world"
762,Gap,"centro coyoacÃƒÂ¡n"
763,H&M,"forum istanbul"
764,Gap,"plaza satÃƒÂ©lite"
765,"Forever 21","marina bay sands shopping mall"
766,Sephora,"dubai mall"
767,Sephora,"nanjing deji plaza"
768,Gap,"lotte world mall"
769,Hamleys,"the dubai mall"
770,"Pizza Hut","moscow mall"
771,Gap,"faisalabad mall"
772,"Taco Bell","dubai mall"
773,Starbucks,"central embassy"
774,"New Balance","pavilion kuala lumpur"
775,H&M,"oasis mall"
776,"Toys R Us","the grove"
777,"Toys R Us","robinsons galleria"
778,"LEGO Store","aventura mall"
779,Gap,kanyon
